"‹¯¨""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height,Number of Terminations,Stock
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-0.0GRCT-ND,RC0603JR-070RL,Yageo,RES 0.0 OHM 1/10W JUMP 0603 SMD,10888101,0,0.1,0,1,Cut Tape (CT),RC0603,0,Jumper,"0.1W, 1/10W",Thick Film,Moisture Resistant,-,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-1.0KGRCT-ND,RC0603JR-071KL,Yageo,RES 1K OHM 1/10W 5% 0603 SMD,4376799,0,0.1,0,1,Cut Tape (CT),RC0603,1k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-4.7KGRCT-ND,RC0603JR-074K7L,Yageo,RES 4.7K OHM 1/10W 5% 0603 SMD,3649891,0,0.1,0,1,Cut Tape (CT),RC0603,4.7k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-10KGRCT-ND,RC0603JR-0710KL,Yageo,RES 10K OHM 1/10W 5% 0603 SMD,2820732,0,0.1,0,1,Cut Tape (CT),RC0603,10k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-100GRCT-ND,RC0603JR-07100RL,Yageo,RES 100 OHM 1/10W 5% 0603 SMD,2021248,0,0.1,0,1,Cut Tape (CT),RC0603,100,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-100KGRCT-ND,RC0603JR-07100KL,Yageo,RES 100K OHM 1/10W 5% 0603 SMD,1689150,0,0.1,0,1,Cut Tape (CT),RC0603,100k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-10.0KHRCT-ND,RC0603FR-0710KL,Yageo,RES 10K OHM 1/10W 1% 0603 SMD,13820086,0,0.1,0,1,Cut Tape (CT),RC0603,10k,¶ñ1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-1.00KHRCT-ND,RC0603FR-071KL,Yageo,RES 1K OHM 1/10W 1% 0603 SMD,9410776,0,0.1,0,1,Cut Tape (CT),RC0603,1k,¶ñ1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-100KHRCT-ND,RC0603FR-07100KL,Yageo,RES 100K OHM 1/10W 1% 0603 SMD,6257146,0,0.1,0,1,Cut Tape (CT),RC0603,100k,¶ñ1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-100HRCT-ND,RC0603FR-07100RL,Yageo,RES 100 OHM 1/10W 1% 0603 SMD,3243094,0,0.1,0,1,Cut Tape (CT),RC0603,100,¶ñ1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
